time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-12-14T00:59:57.280Z,35.9038,-96.7359,6.68,2.9,mb_lg,,64,0.045,0.41,us,us20004gyn,2015-12-14T02:52:47.306Z,"9km SSE of Cushing, Oklahoma",earthquake
2015-12-14T00:14:03.090Z,38.7700005,-122.7425003,1.13,1.02,md,10,99,0.01397,0.01,nc,nc72567681,2015-12-14T00:15:36.120Z,"1km SE of The Geysers, California",earthquake
2015-12-14T00:13:17.710Z,33.2605,-117.7308333,1.19,1.8,ml,19,150,0.297,0.23,ci,ci37501528,2015-12-14T00:17:12.135Z,"22km SSW of San Clemente, California",earthquake
2015-12-14T00:12:32.550Z,38.8308334,-122.7994995,2.03,0.79,md,12,56,0.01041,0.03,nc,nc72567676,2015-12-14T00:14:06.180Z,"6km W of Cobb, California",earthquake
2015-12-14T00:03:22.090Z,33.8946667,-116.8818333,0.94,0.8,ml,13,75,0.2034,0.27,ci,ci37501520,2015-12-14T00:07:18.606Z,"4km S of Banning, California",earthquake
2015-12-13T23:26:59.000Z,60.1656,-141.335,0.4,1.5,ml,,,,0.98,ak,ak12266905,2015-12-13T23:51:50.560Z,"61km E of Cape Yakataga, Alaska",earthquake
2015-12-13T22:54:32.500Z,36.8066673,-121.5274963,1.95,1.15,md,10,61,0.02573,0.06,nc,nc72567671,2015-12-13T22:56:06.560Z,"4km SSE of San Juan Bautista, California",earthquake
2015-12-13T22:52:38.000Z,61.132,-151.4315,65.2,2,ml,,,,0.57,ak,ak12266900,2015-12-13T23:12:15.257Z,"49km N of Nikiski, Alaska",earthquake
2015-12-13T22:42:02.000Z,60.3788,-150.603,40.7,2.4,ml,,,,0.53,ak,ak12266895,2015-12-13T23:12:14.522Z,"19km SSE of Sterling, Alaska",earthquake
2015-12-13T22:33:11.690Z,36.536335,-121.1275024,6.03,2.17,md,18,98,0.04863,0.07,nc,nc72567666,2015-12-13T22:34:46.460Z,"21km NE of Soledad, California",earthquake
2015-12-13T22:28:05.270Z,19.2980003,-155.2050018,8.13,2.97,ml,61,169,0.02495,0.25,hv,hv61125736,2015-12-14T06:30:48.138Z,"15km SSE of Volcano, Hawaii",earthquake
2015-12-13T22:03:35.000Z,61.535,-149.7866,41.9,1.4,ml,,,,0.55,ak,ak12265596,2015-12-13T22:29:43.209Z,"9km E of Big Lake, Alaska",earthquake
2015-12-13T22:01:00.000Z,61.6215,-147.6439,26.5,1.5,ml,,,,0.79,ak,ak12265594,2015-12-13T22:29:42.565Z,"66km ESE of Sutton-Alpine, Alaska",earthquake
2015-12-13T21:43:23.000Z,60.1657,-141.4029,0,1.9,ml,,,,0.82,ak,ak12265591,2015-12-13T22:10:29.614Z,"58km ENE of Cape Yakataga, Alaska",earthquake
2015-12-13T21:41:46.990Z,38.8364983,-122.8259964,1.7,0.29,md,9,78,0.0077,0.01,nc,nc72567656,2015-12-13T21:43:22.030Z,"8km NW of The Geysers, California",earthquake
2015-12-13T21:25:49.000Z,61.4764,-151.8821,8.2,1.9,ml,,,,0.82,ak,ak12265588,2015-12-13T21:48:38.627Z,"93km NNW of Nikiski, Alaska",earthquake
2015-12-13T20:51:43.000Z,61.5592,-149.8008,54.6,2.3,ml,,,,0.58,ak,ak12264287,2015-12-13T21:07:38.422Z,"7km S of Houston, Alaska",earthquake
2015-12-13T20:47:25.870Z,-4.4837,101.4662,41.61,4.5,mb,,108,6.94,0.93,us,us20004gxn,2015-12-14T04:49:54.396Z,"116km SW of Bengkulu, Indonesia",earthquake
2015-12-13T20:31:35.000Z,60.3101,-151.8694,62.2,1.8,ml,,,,0.9,ak,ak12264281,2015-12-13T21:07:39.053Z,"31km WSW of Cohoe, Alaska",earthquake
2015-12-13T20:30:50.370Z,38.8069992,-122.8130035,0.59,1.12,md,7,103,0.01277,0.02,nc,nc72567626,2015-12-13T20:32:26.470Z,"5km NW of The Geysers, California",earthquake
2015-12-13T20:25:10.130Z,33.9855,-116.564,10.05,1.11,ml,34,65,0.05074,0.18,ci,ci37501504,2015-12-13T20:29:09.295Z,"6km WNW of Desert Hot Springs, California",earthquake
2015-12-13T20:24:03.480Z,36.6380005,-121.2581635,6.62,1.7,md,5,154,0.0309,0.01,nc,nc72567621,2015-12-13T20:25:36.490Z,"21km SSE of Ridgemark, California",earthquake
2015-12-13T20:09:24.440Z,38.2907,72.9184,43.78,4.7,mb,,65,1.252,0.99,us,us20004gxj,2015-12-14T04:11:52.420Z,"92km W of Murghob, Tajikistan",earthquake
2015-12-13T19:51:51.000Z,60.9037,-152.1605,96.8,2.2,ml,,,,0.66,ak,ak12264271,2015-12-13T20:23:35.629Z,"53km WNW of Nikiski, Alaska",earthquake
2015-12-13T19:48:03.000Z,63.125,-149.3957,81.4,0.9,ml,,,,0.47,ak,ak12264270,2015-12-13T21:07:39.674Z,"37km SW of Cantwell, Alaska",earthquake
2015-12-13T18:07:22.070Z,38.8294983,-122.8075027,0.17,0.3,md,9,119,0.006417,0.01,nc,nc72567601,2015-12-13T18:08:56.690Z,"7km W of Cobb, California",earthquake
2015-12-13T17:50:47.100Z,19.0415,-65.6181,57,2.8,Md,10,255.6,0.79500903,0.38,pr,pr15347008,2015-12-14T01:53:28.978Z,"71km NNE of Vieques, Puerto Rico",earthquake
2015-12-13T17:37:20.000Z,59.7128,-153.0016,98.1,2.9,ml,,,,0.8,ak,ak12261684,2015-12-14T01:39:54.546Z,"66km W of Anchor Point, Alaska",earthquake
2015-12-13T17:31:07.910Z,-30.5621,-72.0337,10,4.7,mb,,146,0.361,1.2,us,us20004gx7,2015-12-14T01:33:45.817Z,"80km W of Ovalle, Chile",earthquake
2015-12-13T17:27:46.140Z,38.8330002,-122.8068314,0.18,0.79,md,9,97,0.00992,0.02,nc,nc72567586,2015-12-13T17:29:21.460Z,"7km W of Cobb, California",earthquake
2015-12-13T17:20:33.970Z,38.8286667,-122.8071671,0.32,,,25,60,0.01635,0.04,nc,nc72567561,2015-12-13T17:23:38.320Z,"7km W of Cobb, California",earthquake
2015-12-13T17:10:55.190Z,19.2956657,-155.3871613,3.56,1.93,md,26,95,0.03756,0.17,hv,hv61125611,2015-12-13T17:13:51.750Z,"13km NE of Pahala, Hawaii",earthquake
2015-12-13T17:10:49.420Z,33.527,-116.4686667,8.17,0.82,ml,24,75,0.03607,0.18,ci,ci37501488,2015-12-13T17:14:59.319Z,"19km E of Anza, California",earthquake
2015-12-13T17:04:54.000Z,60.434,-147.7829,3.9,1.5,ml,,,,0.28,ak,ak12261683,2015-12-13T20:45:41.845Z,"62km SE of Whittier, Alaska",earthquake
2015-12-13T17:01:52.060Z,33.2825,-115.6591667,1.17,1.87,ml,30,69,0.06735,0.3,ci,ci37501480,2015-12-13T17:05:52.415Z,"10km SE of Bombay Beach, California",earthquake
2015-12-13T16:59:33.000Z,63.4081,-149.9791,100,1.7,ml,,,,1.47,ak,ak12261681,2015-12-13T17:15:08.609Z,"51km W of Cantwell, Alaska",earthquake
2015-12-13T16:48:07.210Z,5.8333,126.9373,129.65,4.3,mb,,105,1.825,0.93,us,us20004gwx,2015-12-14T00:50:46.039Z,"102km SE of Pondaguitan, Philippines",earthquake
2015-12-13T16:43:30.000Z,62.2336,-151.9125,97.8,2.5,ml,,,,0.52,ak,ak12261676,2015-12-14T00:46:10.624Z,"94km W of Talkeetna, Alaska",earthquake
2015-12-13T16:41:21.390Z,38.7599983,-122.7350006,0.25,1.87,md,14,94,0.01919,0.1,nc,nc72567551,2015-12-13T16:42:57.110Z,"2km SE of The Geysers, California",earthquake
2015-12-13T16:20:14.540Z,32.7761667,-115.4421667,4.01,1.49,ml,16,97,0.02933,0.24,ci,ci37501472,2015-12-13T16:24:07.846Z,"7km SW of Holtville, California",earthquake
2015-12-13T16:16:44.910Z,37.1128349,-121.5224991,4.7,1.84,md,22,91,0.06183,0.04,nc,nc72567546,2015-12-13T16:18:20.970Z,"8km ENE of San Martin, California",earthquake
2015-12-13T16:14:10.800Z,19.1993,-65.5566,41,2.9,Md,7,288,0.92436643,0.21,pr,pr15347007,2015-12-14T00:16:45.030Z,"90km NNE of Vieques, Puerto Rico",earthquake
2015-12-13T16:03:59.860Z,33.2888333,-115.645,4.69,1.49,ml,12,98,0.05627,0.23,ci,ci37501464,2015-12-13T16:07:55.145Z,"11km SE of Bombay Beach, California",earthquake
2015-12-13T16:00:41.000Z,58.2071,-142.798,18.1,2.1,ml,,,,0.35,ak,ak12260389,2015-12-13T20:45:43.204Z,"208km S of Cape Yakataga, Alaska",earthquake
2015-12-13T15:55:08.980Z,38.8051682,-122.7941666,0.19,1.04,md,7,165,0.002933,0.04,nc,nc72567536,2015-12-13T15:56:41.730Z,"4km NW of The Geysers, California",earthquake
2015-12-13T15:53:47.890Z,38.8074989,-122.7904968,0.41,2.42,md,31,35,0.003784,0.06,nc,nc72567531,2015-12-13T23:56:21.361Z,"4km NW of The Geysers, California",earthquake
2015-12-13T15:43:20.100Z,19.1161,-65.5901,45,3,Md,8,262.8,0.85429784,0.36,pr,pr15347006,2015-12-13T23:38:35.416Z,"80km NNE of Vieques, Puerto Rico",earthquake
2015-12-13T15:42:41.000Z,-41.51,172.34,6,4.3,mb,,,,0.74,us,us20004gwj,2015-12-13T23:45:08.232Z,"60km WSW of Wakefield, New Zealand",earthquake
2015-12-13T15:26:00.800Z,19.132,-65.5735,44,2.9,Md,14,248.4,0.86507762,0.25,pr,pr15347003,2015-12-13T23:28:41.115Z,"82km NNE of Vieques, Puerto Rico",earthquake
2015-12-13T15:24:19.920Z,19.8076668,-156.8313293,1.74,2.58,md,45,200,,0.31,hv,hv61125576,2015-12-13T23:26:58.389Z,"89km WNW of Kailua-Kona, Hawaii",earthquake
2015-12-13T15:23:01.000Z,63.3791,-149.8897,100,2,ml,,,,0.47,ak,ak12260386,2015-12-13T15:39:27.013Z,"46km W of Cantwell, Alaska",earthquake
2015-12-13T15:14:17.480Z,36.8426666,-121.2496643,4.14,1.28,md,10,234,0.04681,0.06,nc,nc72567526,2015-12-13T15:15:51.440Z,"10km ENE of Ridgemark, California",earthquake
2015-12-13T15:06:51.130Z,33.5683333,-116.7098333,-0.15,0.19,ml,11,128,0.02312,0.2,ci,ci37501456,2015-12-13T15:10:51.474Z,"4km WNW of Anza, California",earthquake
2015-12-13T14:35:41.570Z,-29.6367,-72.0136,6.87,4.4,mb,,167,0.73,0.92,us,us20004gw9,2015-12-13T22:38:19.205Z,"73km WNW of Coquimbo, Chile",earthquake
2015-12-13T14:25:43.770Z,-30.3077,-72.0912,11.69,4.1,mb,,185,0.536,0.65,us,us20004gw8,2015-12-13T22:28:16.923Z,"82km WSW of Coquimbo, Chile",earthquake
2015-12-13T14:17:26.970Z,44.4551667,-114.1495,-0.21,1.58,ml,8,103,0.553,0.22,mb,mb80113879,2015-12-13T15:36:13.750Z,"8km SE of Challis, Idaho",earthquake
2015-12-13T13:57:16.000Z,61.9294,-149.5942,15.6,1.3,ml,,,,0.34,ak,ak12259904,2015-12-13T14:19:01.934Z,"27km NW of Fishhook, Alaska",earthquake
2015-12-13T13:43:32.200Z,38.8190002,-122.8034973,2.73,1.36,md,23,80,0.006757,0.03,nc,nc72567506,2015-12-13T13:45:06.810Z,"6km W of Cobb, California",earthquake
2015-12-13T13:38:29.587Z,38.6969,-119.7198,8.6,1.6,ml,9,117.08,0.133,0.1217,nn,nn00522425,2015-12-14T02:36:09.406Z,"21km S of Gardnerville Ranchos, Nevada",earthquake
2015-12-13T13:29:25.000Z,65.015,-146.8613,12.7,1.2,ml,,,,0.27,ak,ak12259092,2015-12-13T13:39:04.220Z,"37km NE of North Pole, Alaska",earthquake
2015-12-13T13:09:12.240Z,36.5336685,-121.1173325,2.57,1.94,md,12,95,0.04039,0.02,nc,nc72567501,2015-12-13T21:11:56.104Z,"22km ENE of Soledad, California",earthquake
2015-12-13T12:47:44.830Z,19.4150009,-155.2661591,12.28,1.9,md,28,54,0.0066,0.28,hv,hv61125536,2015-12-13T12:51:04.540Z,"3km WSW of Volcano, Hawaii",earthquake
2015-12-13T12:34:18.380Z,33.2751667,-115.6573333,2.37,1.87,ml,34,62,0.06582,0.26,ci,ci37501440,2015-12-13T12:38:14.673Z,"11km SE of Bombay Beach, California",earthquake
2015-12-13T12:28:27.440Z,33.2758333,-115.66,2.16,2,ml,37,79,0.06802,0.29,ci,ci37501432,2015-12-13T12:38:56.290Z,"11km SE of Bombay Beach, California",earthquake
2015-12-13T12:19:29.820Z,38.5958,-118.3231,10.7,0.1,ml,4,219.33,0.159,0.039,nn,nn00522413,2015-12-14T02:36:07.530Z,"27km ENE of Hawthorne, Nevada",earthquake
2015-12-13T12:05:39.360Z,33.2816667,-115.654,2.4,1.84,ml,29,68,0.06299,0.22,ci,ci37501424,2015-12-13T12:09:38.965Z,"11km SE of Bombay Beach, California",earthquake
2015-12-13T12:01:50.540Z,38.8341675,-122.7733307,2.09,0.73,md,8,106,0.008756,0.02,nc,nc72567491,2015-12-13T12:03:27.020Z,"4km WNW of Cobb, California",earthquake
2015-12-13T12:00:33.800Z,19.2255,-65.4049,43,2.8,Md,3,324,0.91987485,0.12,pr,pr15347005,2015-12-13T20:03:15.671Z,"99km NNE of Vieques, Puerto Rico",earthquake
2015-12-13T11:51:00.200Z,38.838501,-122.8304977,1.66,1.74,md,29,55,0.003897,0.05,nc,nc72567486,2015-12-13T11:52:36.960Z,"9km W of Cobb, California",earthquake
2015-12-13T11:48:21.300Z,18.333,-68.0282,110,2.5,Md,3,327.6,0.88034898,0.1,pr,pr15347004,2015-12-13T19:50:57.559Z,"48km SE of Punta Cana, Dominican Republic",earthquake
2015-12-13T11:45:35.820Z,35.4845,-118.4271667,1.84,1.33,ml,13,87,0.1819,0.19,ci,ci37501408,2015-12-13T11:49:15.147Z,"13km SSE of Bodfish, California",earthquake
2015-12-13T11:43:57.000Z,60.2091,-150.8036,47.8,1.8,ml,,,,0.35,ak,ak12259089,2015-12-13T12:12:45.892Z,"33km ESE of Cohoe, Alaska",earthquake
2015-12-13T11:42:11.600Z,35.632,-118.1463333,11.37,1.1,ml,12,100,0.09528,0.15,ci,ci37501400,2015-12-13T11:45:55.932Z,"29km ESE of Kernville, California",earthquake
2015-12-13T11:39:08.080Z,43.3893333,-111.2858333,6.01,0.94,ml,5,230,0.312,0.07,mb,mb80113874,2015-12-13T15:42:52.710Z,"27km SSW of Victor, Idaho",earthquake
2015-12-13T11:23:47.228Z,37.3462,-114.2099,11.2,0.6,ml,5,296.82,0.301,0.2442,nn,nn00522412,2015-12-14T02:36:06.620Z,"40km SE of Caliente, Nevada",earthquake
2015-12-13T11:19:49.760Z,19.4726658,-155.4595032,6.78,1.73,md,47,46,0.05693,0.19,hv,hv61125511,2015-12-13T11:23:09.790Z,"23km WNW of Volcano, Hawaii",earthquake
2015-12-13T10:56:15.532Z,37.1384,-117.776,13.4,0.8,ml,6,176.64,0.14,0.0808,nn,nn00522453,2015-12-14T02:36:12.860Z,"45km E of Big Pine, California",earthquake
2015-12-13T10:41:49.000Z,64.5532,-149.866,18.6,1.2,ml,,,,0.32,ak,ak12259087,2015-12-13T11:08:43.692Z,"36km W of North Nenana, Alaska",earthquake
2015-12-13T10:40:52.540Z,38.8338318,-122.8115005,1.87,1.45,md,24,39,0.01048,0.05,nc,nc72567466,2015-12-13T10:42:26.400Z,"7km W of Cobb, California",earthquake
2015-12-13T10:40:49.000Z,63.2774,-145.4306,6.7,1.5,ml,,,,0.65,ak,ak12259085,2015-12-13T11:08:43.066Z,"67km S of Deltana, Alaska",earthquake
2015-12-13T10:31:54.000Z,61.5796,-146.4736,16.9,2.2,ml,,,,0.82,ak,ak12259081,2015-12-13T10:50:21.148Z,"50km N of Valdez, Alaska",earthquake
2015-12-13T10:27:19.460Z,38.838501,-122.8343353,10.64,1.12,md,6,160,0.0009037,0.01,nc,nc72567461,2015-12-13T10:28:57.320Z,"9km W of Cobb, California",earthquake
2015-12-13T10:03:23.920Z,-11.1608,166.4455,86.46,4.8,mb,,72,4.324,0.77,us,us20004gvu,2015-12-13T18:06:08.089Z,"83km SE of Lata, Solomon Islands",earthquake
2015-12-13T10:01:54.469Z,37.1355,-117.7757,12.1,0.5,ml,8,177.11,0.142,0.1337,nn,nn00522452,2015-12-14T02:36:11.776Z,"45km E of Big Pine, California",earthquake
2015-12-13T09:43:12.220Z,38.8203316,-122.8000031,2.01,1,md,16,113,0.01288,0.02,nc,nc72567456,2015-12-13T09:44:46.050Z,"6km W of Cobb, California",earthquake
2015-12-13T09:31:05.110Z,34.1693333,-117.4701667,13.88,1.79,ml,72,21,0.04544,0.22,ci,ci37501392,2015-12-13T09:42:34.400Z,"8km N of Fontana, California",earthquake
2015-12-13T09:27:31.650Z,38.8143349,-122.8193359,2.33,1.03,md,20,81,0.00943,0.03,nc,nc72567446,2015-12-13T09:29:06.940Z,"6km NW of The Geysers, California",earthquake
2015-12-13T09:15:22.000Z,63.1861,-150.6143,100,1.5,ml,,,,0.97,ak,ak12257793,2015-12-13T09:31:22.843Z,"86km WSW of Cantwell, Alaska",earthquake
2015-12-13T08:58:47.000Z,62.8881,-151.3846,88.3,1.7,ml,,,,0.75,ak,ak12257790,2015-12-13T09:31:22.184Z,"90km NW of Talkeetna, Alaska",earthquake
2015-12-13T08:49:17.960Z,38.8143349,-122.8284988,2.38,1.1,md,20,86,0.005485,0.04,nc,nc72567441,2015-12-13T08:50:50.700Z,"7km WNW of The Geysers, California",earthquake
2015-12-13T08:42:01.000Z,64.2509,-147.6008,2.4,0.1,ml,,,,0.09,ak,ak12256511,2015-12-13T20:45:44.868Z,"45km SW of Salcha, Alaska",earthquake
2015-12-13T08:38:08.630Z,48.1246667,-115.0858333,11.17,1.67,ml,12,129,0.339,0.16,mb,mb80113869,2015-12-13T15:19:02.530Z,"45km SE of Libby, Montana",earthquake
2015-12-13T08:31:33.178Z,37.1091,-116.7502,0,0.5,ml,9,152.68,0.042,0.1441,nn,nn00522408,2015-12-14T02:36:05.052Z,"22km N of Beatty, Nevada",earthquake
2015-12-13T08:31:15.750Z,-24.1944,-66.9564,182.5,4.6,mb,,40,2.388,1.14,us,us20004gvd,2015-12-13T16:33:46.181Z,"64km W of San Antonio de los Cobres, Argentina",earthquake
2015-12-13T08:02:18.000Z,61.0278,-147.762,20.4,1.7,ml,,,,1.03,ak,ak12256508,2015-12-13T08:31:59.431Z,"57km ENE of Whittier, Alaska",earthquake
2015-12-13T07:14:28.700Z,19.238,-66.5384,30,3,Md,7,277.2,1.01958785,0.28,pr,pr15347002,2015-12-13T15:16:55.592Z,"86km NNE of Arecibo, Puerto Rico",earthquake
2015-12-13T07:11:51.400Z,19.1287,-65.6025,53,3.1,Md,6,306,0.87136583,0.27,pr,pr15347001,2015-12-13T15:14:34.606Z,"81km NNE of Vieques, Puerto Rico",earthquake
2015-12-13T06:45:07.000Z,63.2835,-151.3438,0.1,1.6,ml,,,,0.78,ak,ak12255220,2015-12-13T07:20:59.583Z,"120km W of Cantwell, Alaska",earthquake
2015-12-13T06:42:11.060Z,-6.9137,129.9085,97.25,5.4,mb,,45,1.74,0.65,us,us20004gv8,2015-12-13T14:44:47.643Z,"193km NW of Saumlaki, Indonesia",earthquake
2015-12-13T06:40:59.810Z,37.4247,-117.2997,0,0.6,ml,6,227.64,0.336,0.2067,nn,nn00522450,2015-12-14T02:36:10.501Z,"32km S of Goldfield, Nevada",earthquake
2015-12-13T06:26:06.032Z,38.1658,-118.8302,9.9,0.7,ml,6,228.39,0.11,0.0417,nn,nn00522407,2015-12-14T02:36:03.396Z,"36km ESE of Bridgeport, California",earthquake
2015-12-13T06:12:35.440Z,38.8463326,-122.8771667,1.57,1.07,md,14,96,0.009196,0.05,nc,nc72567406,2015-12-13T06:14:11.640Z,"12km ENE of Cloverdale, California",earthquake
2015-12-13T05:57:28.573Z,36.8077,-116.6828,3.9,-0.1,ml,6,142.17,0.048,0.0929,nn,nn00522406,2015-12-14T02:36:02.188Z,"13km SSE of Beatty, Nevada",earthquake
2015-12-13T05:53:20.730Z,54.9946,111.7368,14.19,5.1,mb,,38,5.874,0.83,us,us20004gv4,2015-12-13T13:56:03.096Z,"120km NE of Kurumkan, Russia",earthquake
2015-12-13T05:52:08.840Z,33.505,-116.4456667,4.05,1.09,ml,40,77,0.0248,0.2,ci,ci37501368,2015-12-13T06:16:56.181Z,"22km SW of La Quinta, California",earthquake
2015-12-13T05:27:43.000Z,63.4136,-151.3572,4.4,1.5,ml,,,,0.19,ak,ak12253931,2015-12-13T06:00:18.441Z,"120km W of Cantwell, Alaska",earthquake
2015-12-13T05:27:35.000Z,62.0943,-149.4735,22.9,2,ml,,,,0.94,ak,ak12253929,2015-12-13T06:00:17.786Z,"21km ESE of Y, Alaska",earthquake
2015-12-13T05:23:13.000Z,63.2645,-151.3475,6,1.5,ml,,,,0.63,ak,ak12253927,2015-12-13T05:41:27.315Z,"120km W of Cantwell, Alaska",earthquake
2015-12-13T05:20:41.420Z,33.471,-116.4851667,10.18,0.79,ml,24,100,0.07211,0.15,ci,ci37501360,2015-12-13T05:24:44.404Z,"20km ESE of Anza, California",earthquake
2015-12-13T05:20:02.000Z,19.4878,-66.2602,35,3.2,Md,12,288,1.22709868,0.34,pr,pr15347000,2015-12-13T13:22:33.352Z,"113km N of Dorado, Puerto Rico",earthquake
2015-12-13T05:04:24.000Z,61.5571,-151.6665,70,1.4,ml,,,,1.26,ak,ak12253922,2015-12-13T20:23:34.986Z,"88km WSW of Willow, Alaska",earthquake
2015-12-13T04:49:06.440Z,38.7901649,-122.7713318,1.79,1.22,md,19,74,0.01331,0.03,nc,nc72567401,2015-12-13T04:50:41.150Z,"1km NW of The Geysers, California",earthquake
2015-12-13T04:45:38.390Z,19.4934998,-155.6690063,4.01,1.99,ml,28,49,0.0336,0.22,hv,hv61125376,2015-12-13T04:51:19.900Z,"20km ENE of Honaunau-Napoopoo, Hawaii",earthquake
2015-12-13T04:45:14.000Z,63.3887,-151.7862,15.2,1.3,ml,,,,0.34,ak,ak12252650,2015-12-13T05:19:40.644Z,"141km W of Cantwell, Alaska",earthquake
2015-12-13T04:43:24.250Z,37.2717,-118.1302,6.5,0.9,ml,8,186.66,0.15,0.077,nn,nn00522396,2015-12-14T02:35:48.917Z,"18km NE of Big Pine, California",earthquake
2015-12-13T04:37:38.070Z,38.8373337,-122.8383331,1.64,0.42,md,9,107,0.002552,0.02,nc,nc72567391,2015-12-13T04:39:11.050Z,"9km NW of The Geysers, California",earthquake
2015-12-13T04:36:16.120Z,32.401165,-115.245163,2.89,2.96,ml,20,160,0.05381,0.36,ci,ci37501352,2015-12-14T02:27:00.658Z,"7km NW of Delta, B.C., MX",earthquake
2015-12-13T04:23:46.000Z,62.4158,-150.636,63,1.8,ml,,,,0.49,ak,ak12252646,2015-12-13T04:59:59.627Z,"29km WNW of Talkeetna, Alaska",earthquake
2015-12-13T04:20:10.390Z,19.4148331,-155.4075012,8.07,1.91,md,51,37,0.06335,0.18,hv,hv61125366,2015-12-13T04:23:29.850Z,"17km W of Volcano, Hawaii",earthquake
2015-12-13T03:48:20.000Z,64.7667,-147.4489,18.3,0.9,ml,,,,0.3,ak,ak12252643,2015-12-13T04:00:57.297Z,"5km SE of Badger, Alaska",earthquake
2015-12-13T03:35:50.600Z,34.0735,-116.6728333,9.57,1.46,ml,56,34,0.04055,0.2,ci,ci37501344,2015-12-13T03:46:25.050Z,"9km WNW of Morongo Valley, California",earthquake
2015-12-13T03:24:13.550Z,33.4693333,-116.4895,9.26,0.9,ml,34,96,0.07583,0.2,ci,ci37501336,2015-12-13T03:28:17.879Z,"20km ESE of Anza, California",earthquake
2015-12-13T03:23:01.784Z,39.2315,-119.6978,2.5,1.3,ml,15,68.07,0.053,0.141,nn,nn00522393,2015-12-14T02:35:47.964Z,"9km W of Dayton, Nevada",earthquake
